SAMPLE_ID	mutations
Liu_Sample1	WXS
Liu_Sample4	WXS
Liu_Sample6	WXS
Liu_Sample7	WXS
Liu_Sample8	WXS
Liu_Sample9	WXS
Liu_Sample10	WXS
Liu_Sample11	WXS
Liu_Sample13	WXS
Liu_Sample14	WXS
Liu_Sample15	WXS
Liu_Sample17	WXS
Liu_Sample18	WXS
Liu_Sample20	WXS
Liu_Sample21	WXS
Liu_Sample22	WXS
Liu_Sample23	WXS
Liu_Sample24	WXS
Liu_Sample25	WXS
Liu_Sample27	WXS
Liu_Sample30	WXS
Liu_Sample31	WXS
Liu_Sample32	WXS
Liu_Sample33	WXS
Liu_Sample34	WXS
Liu_Sample35	WXS
Liu_Sample36	WXS
Liu_Sample37	WXS
Liu_Sample38	WXS
Liu_Sample40	WXS
Liu_Sample42	WXS
Liu_Sample44	WXS
Liu_Sample45	WXS
Liu_Sample47	WXS
Liu_Sample48	WXS
Liu_Sample51	WXS
Liu_Sample56	WXS
Liu_Sample58	WXS
Liu_Sample61	WXS
Liu_Sample62	WXS
Liu_Sample63	WXS
Liu_Sample67	WXS
Liu_Sample72	WXS
Liu_Sample73	WXS
Liu_Sample75	WXS
Liu_Sample77	WXS
Liu_Sample78	WXS
Liu_Sample79	WXS
Liu_Sample82	WXS
Liu_Sample83	WXS
Liu_Sample86	WXS
Liu_Sample87	WXS
Liu_Sample94	WXS
Liu_Sample96	WXS
Liu_Sample98	WXS
Liu_Sample99	WXS
Liu_Sample100	WXS
Liu_Sample102	WXS
Liu_Sample105	WXS
Liu_Sample106	WXS
Liu_Sample107	WXS
Liu_Sample108	WXS
Liu_Sample112	WXS
Liu_Sample116	WXS
Liu_Sample117	WXS
Liu_Sample121	WXS
Liu_Sample125	WXS
Liu_Sample126	WXS
Liu_Sample127	WXS
Liu_Sample130	WXS
Liu_Sample131	WXS
Liu_Sample132	WXS
Liu_Sample133	WXS
Liu_Sample134	WXS
Liu_Sample135	WXS
Liu_Sample137	WXS
Liu_Sample140	WXS
Liu_Sample141	WXS
Liu_Sample142	WXS
Liu_Sample143	WXS
Liu_Sample144	WXS
Liu_Sample145	WXS
Liu_Sample146	WXS
Liu_Sample147	WXS
Liu_Sample148	WXS
Liu_Sample149	WXS
Liu_Sample150	WXS
Liu_Sample154	WXS
Liu_Sample155	WXS
Liu_Sample156	WXS
Liu_Sample158	WXS
Liu_Sample159	WXS
Liu_Sample162	WXS
Liu_Sample163	WXS
Liu_Sample165	WXS
Liu_Sample166	WXS
Liu_Sample167	WXS
Liu_Sample168	WXS
Liu_Sample169	WXS
Liu_Sample170	WXS
Liu_Sample172	WXS
Liu_Sample173	WXS
Liu_Sample179	WXS
Liu_Sample181	WXS
Liu_Sample183	WXS
Liu_Sample184	WXS
Liu_Sample185	WXS
Liu_Sample187	WXS
Liu_Sample188	WXS
Liu_Sample189	WXS
Liu_Sample191	WXS
Liu_Sample192	WXS
Liu_Sample193	WXS
Liu_Sample195	WXS
Liu_Sample196	WXS
Liu_Sample197	WXS
Liu_Sample200	WXS
Liu_Sample201	WXS
Liu_Sample203	WXS
Liu_Sample204	WXS
Liu_Sample205	WXS
Liu_Sample206	WXS
