ENTITY_STABLE_ID	NAME	DESCRIPTION	Liu_Sample1	Liu_Sample10	Liu_Sample100	Liu_Sample102	Liu_Sample105	Liu_Sample106	Liu_Sample107	Liu_Sample108	Liu_Sample11	Liu_Sample112	Liu_Sample116	Liu_Sample117	Liu_Sample121	Liu_Sample125	Liu_Sample126	Liu_Sample127	Liu_Sample13	Liu_Sample130	Liu_Sample131	Liu_Sample132	Liu_Sample133	Liu_Sample134	Liu_Sample135	Liu_Sample137	Liu_Sample14	Liu_Sample140	Liu_Sample141	Liu_Sample142	Liu_Sample143	Liu_Sample144	Liu_Sample145	Liu_Sample146	Liu_Sample147	Liu_Sample148	Liu_Sample149	Liu_Sample15	Liu_Sample150	Liu_Sample154	Liu_Sample155	Liu_Sample156	Liu_Sample158	Liu_Sample159	Liu_Sample162	Liu_Sample163	Liu_Sample165	Liu_Sample166	Liu_Sample167	Liu_Sample168	Liu_Sample169	Liu_Sample17	Liu_Sample170	Liu_Sample172	Liu_Sample173	Liu_Sample179	Liu_Sample18	Liu_Sample181	Liu_Sample183	Liu_Sample184	Liu_Sample185	Liu_Sample187	Liu_Sample188	Liu_Sample189	Liu_Sample191	Liu_Sample192	Liu_Sample193	Liu_Sample195	Liu_Sample196	Liu_Sample197	Liu_Sample20	Liu_Sample200	Liu_Sample201	Liu_Sample203	Liu_Sample204	Liu_Sample205	Liu_Sample206	Liu_Sample21	Liu_Sample22	Liu_Sample23	Liu_Sample24	Liu_Sample25	Liu_Sample27	Liu_Sample30	Liu_Sample31	Liu_Sample32	Liu_Sample33	Liu_Sample34	Liu_Sample35	Liu_Sample36	Liu_Sample37	Liu_Sample38	Liu_Sample4	Liu_Sample40	Liu_Sample42	Liu_Sample44	Liu_Sample45	Liu_Sample47	Liu_Sample48	Liu_Sample51	Liu_Sample56	Liu_Sample58	Liu_Sample6	Liu_Sample61	Liu_Sample62	Liu_Sample63	Liu_Sample67	Liu_Sample7	Liu_Sample72	Liu_Sample73	Liu_Sample75	Liu_Sample77	Liu_Sample78	Liu_Sample79	Liu_Sample8	Liu_Sample82	Liu_Sample83	Liu_Sample86	Liu_Sample87	Liu_Sample9	Liu_Sample94	Liu_Sample96	Liu_Sample98	Liu_Sample99
Beck_Mac_CSF1	Beck_Mac_CSF1	Beck et al clin Cancer Research 2009; PMID:19188147	8.43145063137182	9.40330303237048	11.9064852966918	9.74010762567097	7.33585111564108	9.90873400044734	6.12392661776654	7.07048667052152	9.26052430684843	9.1563445297806	8.83747633290053	11.1548636528771	9.99776091854707	11.8378495879373	10.2038655632147	9.02454407997494	8.93190881883515	10.0659868146781	9.80047312482125	10.7121687203054	9.57682959874335	10.0187561425278	9.25883774880534	11.086146595464	10.097859164954	8.50641377423431	6.72170115170738	9.60826754302093	10.3095768153887	8.28854407843321	10.1046011092082	8.86731246016967	7.77932316529819	9.64860466743642	11.1754625101515	9.91893794447997	9.21415196340256	9.1557062911266	9.14060511247483	9.68202675564732	9.40722317068272	9.61114259152382	9.23952143849172	9.09167875529995	9.36323890425213	7.59254736564079	10.2179958160613	8.69103923838816	9.75438854555258	10.7499071786803	9.15725040927352	10.3243209294053	9.58593010304599	5.52622782336032	8.48437328288246	9.9507122248463	9.42537414236975	8.95422030356485	9.50775298794031	9.67870307871435	8.30803307998302	9.66382904441661	10.257378142663	11.0068357672018	10.0904194784742	9.54644552113231	8.60269611635911	8.31718216510639	10.6575387511932	10.0549146625909	7.03076438065277	9.80452435191913	9.32931170173337	9.68433612504847	10.1543837207963	8.22335761846231	7.98984660000448	8.79540897476362	8.42049772556577	9.93885856169803	9.68879252918063	10.2581392775175	8.88913094329537	8.6676825261482	11.6187586139676	8.97333982205927	8.87943053763465	8.76187550219385	10.4980952253808	9.12810254369897	8.95493209076377	8.4328922795797	8.93332359468797	9.9997496935251	10.1790437733949	7.56652737509631	7.80230420872603	9.85296969744256	10.2204262358463	8.30186627056748	9.35174912200457	10.4557357178728	10.3393000899417	8.37248395740988	7.84136023147421	9.24913022083624	9.57856966037587	8.89745391152754	9.90834686956695	10.3036741806348	10.5239307958986	10.6761978237087	8.71896491483363	7.73452042462457	8.03988897315906	11.2491187165328	10.675309274593	8.42174407885118	9.98871323287078	8.84429317039589	10.557306875703	10.6564183463639
Bindea_BCells	Bindea_BCells	Bindea G et al. Immunity 2013; PMID:24138885	5.58149326681063	5.61744274708398	7.51550854291162	6.12684637119142	3.57634379656356	6.31711891146934	0	0	5.80558488207852	6.45445248063939	6.1472891576114	6.00205961946098	6.43119031442305	8.15678058871671	7.22579652004556	6.32452954255548	6.08667303350408	6.88157407267094	3.43644873479928	8.20099288958842	5.73890258827977	8.04961155152252	6.47779541557155	8.40375520835759	6.37371854030965	4.81735666572676	0.851344676459439	5.1746548796872	6.04459532688686	4.4113859159686	5.31224595339351	5.5771942261305	3.07283794774037	4.71846012531413	7.79201778659755	6.95448517765427	4.93928639495098	7.25383420857539	5.02802552308526	5.37447271868063	6.02719917067473	5.89458302990325	5.99254865060259	7.8297379451248	5.86480090612803	3.33543923149209	7.49689160886364	4.98216581918311	6.51609913882839	7.55712556539726	5.95582364938055	6.62115287704237	6.61487182095135	3.49943496821607	5.66998915470348	6.84632862673322	6.0498320633007	4.24356285455978	5.97602236902393	6.24109936022059	5.47480290202017	4.34376449379414	6.28055853651788	6.93586438052539	7.32817862240444	7.13125966826689	5.02341786527099	2.91145248393314	5.50097004697788	6.50397676615968	3.72408346670176	6.50221632285469	6.41114588876754	5.83988595423946	6.31685897655592	3.99469648079556	2.02971596370384	5.87426418651757	5.88145618865798	6.69793027807614	8.54750409004454	5.76925832821488	5.24578957373287	3.33569377181802	8.43318759088878	5.77401634203935	5.24933110599944	4.85798099512757	8.91583715375052	4.88333974487214	5.74186238490443	5.82603928155389	5.83617654736977	7.62764695123699	6.19232333178825	5.03644237949233	5.26813627302667	5.08991473947174	6.86990566459874	4.1875765033196	6.03930172114453	7.32274757519391	6.05066850918198	6.50036956282834	4.49963044692139	6.20390601218931	5.7812484405456	5.93457902343432	7.46681971494903	4.8289026416955	6.79554726845391	6.04759359553442	5.01835743065322	4.68541441076755	4.9105314368399	8.78049113943293	7.95890107974339	4.07944277228607	6.63647704803343	5.33387231410538	8.17031760877151	5.418019011489
Bindea_CD8_TCells	Bindea_CD8_TCells	Bindea G et al. Immunity 2013; PMID:24138885	8.65152605161632	9.00171279913079	9.38048169788838	8.28433543471009	8.10797259961703	9.20129850671858	7.07408638733549	6.99338782562223	8.37974611594317	8.93684836744093	8.37064312542581	9.22019788382593	8.98167640115748	9.61338185197965	9.04242454710762	8.40500490894402	9.31083214781611	9.45630429658048	8.3488117769948	9.03769477432262	8.73925461993973	9.04688646613791	8.33224887246801	8.86166401287479	8.6963651186204	8.83544511478255	8.19435290955036	8.61788505940037	8.64641219159037	8.20812388813049	8.80584009875883	8.31797953302723	8.51852761774674	8.38866453035888	8.84094098850429	8.73642865620046	8.78311740486359	8.66662807319129	8.52809793229701	8.80533192712623	8.77147843500022	8.83309962620509	9.20014359263429	8.77928233418435	8.70128044720767	8.48349638918863	8.7839666510522	8.08032184852833	8.67784852849873	8.75752660792484	8.63181574810831	9.04823491840446	8.75519296194455	7.54355009412697	8.43501961203326	8.90088758955342	8.47507912417672	8.0255254577855	8.45755932001783	8.64055976857684	9.2501082412178	9.23084344784923	8.8177515907367	9.05977734944713	8.96155072797393	9.01919459027385	8.64808931164973	8.33327982232604	8.94625129754121	9.31380703893501	7.91691387308378	8.99651167449922	8.70886413686154	8.60958703200631	9.00657629220417	8.5734035435827	8.93218747226187	8.88757718138451	7.88782411529012	8.74115700522634	8.74004582571868	8.64372536952649	8.61025877606628	8.65204450311369	9.09295120696392	8.99440129706162	8.77607422504667	9.07056643359886	9.37736402002994	9.1088061799562	8.66450442013645	8.66262757434882	8.50746283732429	8.85988635595754	8.36810388247018	8.77220491790223	8.97728422152679	8.27487435192798	9.05371504962502	7.68203107090485	8.60345245678672	8.46463856694805	8.49029041779252	9.16867766843758	7.9715513212123	9.00664186904641	8.92339266807841	8.42322813143441	8.63001487397655	9.40982682783192	8.71881539580807	9.20726367436606	8.86738227659248	9.22586886649119	8.74775031204264	9.3621950713101	9.23901626024055	8.51352752942026	9.02031879407902	8.91802098473732	9.11909843128204	8.67366817561393
Bindea_Cytotoxic_Cells	Bindea_Cytotoxic_Cells	Bindea G et al. Immunity 2013; PMID:24138885	6.13873505149575	6.45339809294747	9.81455331119829	5.61639065526301	6.02923572224655	6.54739534349538	0	0	5.31112607970564	7.44622186256616	5.42201540305202	7.03481084892942	8.42305822014694	9.8756191910284	6.88110412235766	6.90349201914666	5.2951516970258	7.5480674254496	0	7.94855255499864	6.31813111334293	7.27729955652728	5.11518854086491	8.50327106861526	6.62468461370683	4.35820673368657	2.32794849862653	6.03612392619414	6.85581011388199	3.81444275332467	5.88505398334089	4.60139585286666	3.59948485551482	5.52269050025227	7.80966418754523	7.38295331294303	5.39704340294836	5.08774802154109	6.01887358440333	4.10255393116352	6.84756357905368	7.35416953404061	7.07162310282379	6.07160338706883	5.77029194311481	3.47363973387862	7.16509501101946	4.35931495340336	6.59521723839708	7.09291153257845	5.89540376709518	7.96263160750543	5.36009247975514	2.62167427907768	4.91937648835479	7.3466693184012	5.66827102864447	0	6.1297309893258	6.38020315622722	5.07076373464529	6.82489118353076	6.47783019410684	7.72568504343127	7.07263234299091	6.76878659210972	4.46046576669822	3.71320544140656	7.05063888148501	6.83328623759586	4.80077442489328	7.03687981627637	6.99045236285675	4.8286842453778	7.41477719033575	4.25874466417416	3.73692715395163	5.13045429702024	5.59005736784392	6.97964233200847	7.40188241313619	7.56698073225208	4.80058966007481	4.91895879833683	7.82385696138995	6.01511665217952	6.83128021489047	5.94641895979516	8.21436308888733	5.4850460157202	5.67499475447023	5.95941031234086	5.45250507765215	7.67598555588139	6.67512374526647	4.35767380365762	6.00142087458354	6.91579356018534	7.08961018915035	4.1875765033196	6.9166984685819	6.11232102486625	6.36542350042786	6.53112149465321	5.78277689933694	6.17935929628023	7.63651185641111	5.29311199119684	7.36505752423199	6.64585565853731	6.20466997335418	7.25039661229044	5.83907006845059	3.44522992096925	4.80086630926712	8.60854338107661	8.35052891935622	5.64674971132831	7.0762401023391	5.73993948260693	7.83845414834951	6.44783451801692
Bindea_DC	Bindea_DC	Bindea G et al. Immunity 2013; PMID:24138885	4.66169502024154	7.71393906455154	8.81892271489188	3.61038448672194	4.71257783565125	6.17848701494574	0	0	7.64925842050113	4.2314644581005	5.98544762284707	5.77156125144529	6.41470595956904	6.62775583817217	6.40393502242183	7.33474530784229	6.53233810817336	4.76057742033203	4.89348842412579	8.42335837311076	5.34917659146726	7.54442143168726	4.44677454986402	7.13478447199757	7.15778578702395	3.38668090632245	2.07612361471122	2.85970972618122	8.486063257985	5.64734979289348	5.37129452130021	5.94061690007149	6.3178771275473	5.17515405769561	8.77744762762948	5.979036409837	6.96202737054712	6.98684465425474	3.89069939999665	7.41189631995625	6.92221459163777	6.46620463098107	5.01503139174919	6.12033229327332	5.74566462140918	3.97952213696888	7.1370482630794	4.62916435559102	7.51930432495826	6.83200321266173	5.95579407777691	8.72698794081037	5.44955974805871	0	4.64940799071632	8.57187232122964	8.52187042644969	0	6.99582858529095	6.80741655330442	5.03704491751629	8.77564205594369	7.16677333812781	7.84015529926816	7.55010441941765	5.76157789619979	3.63035247957683	3.36732173370487	8.18697229486757	3.91922663481876	5.49099702801397	6.98519516708513	5.86878080885624	6.19278789556245	6.87548540717923	3.99469648079556	3.73692715395163	3.8311959697396	3.18368553536341	8.21441608346357	5.30356893490019	4.55167008048293	2.78186566355218	6.40948860148996	9.39381781747925	6.37375618284434	4.22007149848824	5.65344223860392	7.29272401462797	5.31094091822035	6.83426256157384	6.03042866284891	4.53524565665373	6.424681289456	5.91187072480008	3.61946885248936	4.00135324561173	7.43380016441377	9.4221475611984	4.94723348296768	5.82526272848195	3.62803122261305	7.81573643526531	5.3336926470529	6.61907984482667	3.67903889222392	6.08650228145591	3.96662963990078	5.68936653054412	5.38475624713953	7.70504554958643	5.73572613521191	4.26764825896724	1.27093456404386	5.30091439655464	7.37521117871215	7.25209286369966	6.83813198936429	7.46198591368281	4.97238595164302	6.87634935734564	6.44783451801692
Bindea_Eosinophils	Bindea_Eosinophils	Bindea G et al. Immunity 2013; PMID:24138885	8.22625000132373	8.03983334898391	8.12412196983811	7.09206030449104	7.45304639381907	7.00666398542225	5.1075690839646	4.88306951168028	7.82858799400483	8.15907917924526	8.60988773776137	8.36824735540695	8.65798551481509	7.98782412865855	7.81891019483254	8.85999297234151	8.14565023759279	7.7866046845259	6.74872472690632	7.98752199426072	7.13513361087925	7.75707832179887	7.6896554835755	8.03265427589355	8.02053976557543	7.95443147272194	7.7708852225516	6.55675138069551	8.13952825772557	7.80591949208741	7.26033888972962	6.79431939491266	7.55700861894426	8.47548471607083	8.42775567229578	8.46766081078312	7.1754851084122	8.80111058126082	8.22519817068061	8.33469240702058	8.18928730585657	8.73155355218979	7.48411314933748	8.70831033367109	8.17615120419999	7.68592237738791	8.95091946559954	8.25956509669027	8.07078802983365	7.54632913675813	8.76821102691502	8.50461808387315	8.39018616039361	7.34042705207536	8.19591006027973	8.43119614228833	6.78918929002081	7.5712159697569	8.42680920623797	8.15624578423547	8.51871341359157	9.10128393304845	7.63468407765049	8.31811449777129	9.43311902272162	7.89685762503521	8.19252219746917	8.16996225517289	7.73790723075695	7.88460399522892	8.24753546030019	9.60916640263426	8.05634734788132	7.02163775600135	8.6127988101906	7.4106567072345	8.28087155387822	8.21431974188794	6.96990292265983	8.74305925328171	7.14570082257372	7.78499137117551	8.42935842250783	7.18044450400762	7.89950400508376	8.93300397762802	8.10441404115648	7.5218435666831	8.36433816263406	7.59126451744935	7.11573221197446	7.24825124875995	7.31707614636572	5.77556752209925	7.30039618697374	8.45739839733991	7.42030972115802	7.28596534988173	8.55948128955361	7.31051260537824	7.40534830763283	7.31910387817113	9.11347896691859	7.06956380849666	8.06906822805053	9.32715991935865	7.71265473329719	7.9470112385561	7.12943306259049	7.54595084524312	8.88434350940268	7.69257689174661	7.52436711347383	7.00069140273623	7.88369873226526	8.90166200312333	8.88262837764322	8.90836095905139	8.4822471148064	7.8596204723397	8.86679791773831	7.77653454128095
Bindea_Macrophages	Bindea_Macrophages	Bindea G et al. Immunity 2013; PMID:24138885	8.35518237461038	8.87750026998601	9.82225462986943	9.083329225561	5.70818733345379	9.35940730421708	0	5.86364791220291	8.5040142724017	7.83130152647942	7.64374120424256	10.2218489630754	8.78848164598217	9.2291928110179	8.71928778042254	7.79695053536913	7.63279081862625	9.76752501655134	8.63049896079125	9.60169937316423	8.23919464196626	8.55225959472682	8.40437814550389	8.41951929380622	9.02488822263831	7.44475803700224	6.37550063758904	8.29591738126687	9.26864512947846	8.37603977559115	8.91073824224045	7.69291788735126	7.77240334924803	9.67450385413175	10.0044451005058	8.72107603699573	8.33023594700902	8.70635738509144	7.82386238719528	9.84883517731588	8.30831421549228	8.17147503117101	7.88687603675005	7.87305121156884	8.86600822124124	6.28508604268281	9.74630966406809	7.95706374544816	9.14754740447876	9.50990564218904	7.72925316636698	9.28721792589459	8.63821144777714	4.87531393555514	7.67311929811915	8.48824514229631	8.3987870387179	7.18722353879486	8.69930839959953	8.96452741916539	7.55544766347025	8.70731915364809	9.40611490576535	10.6935003058525	8.40446124538761	7.81255812434774	7.84264300105744	6.62726092875532	9.40433698775294	9.72065664952921	7.58158468415534	8.04658475024307	7.83726181994275	8.1850976182121	8.8174375706043	7.95146085228077	7.08357487876059	8.26329663469264	8.33584777227572	9.79748170159955	7.90581518363239	8.85756744232886	7.83474240690544	7.56424779579003	10.7768130349162	8.98678297855311	7.7202529167974	8.73809225962049	9.78815660769735	8.50591626670238	8.33699406858885	7.4403245731487	6.84682262457716	8.91731175764889	8.73179699484882	6.87015448241002	6.24935194735888	9.17594905931188	9.18015300247892	7.19780067681209	8.24536704062004	9.59568131735822	9.07018103431057	7.69820909322768	6.96952264574557	7.66966312008822	8.21731166093249	7.95981466664195	7.00798978973729	8.59359644528373	8.50695009785995	9.92211869625799	9.1714333431835	8.57151636817232	8.20902309646087	9.38369362186584	8.59425866312238	7.5524367433158	8.40297704265391	7.46114037734141	9.23488419059645	9.98226898909074
Bindea_Mast_Cells	Bindea_Mast_Cells	Bindea G et al. Immunity 2013; PMID:24138885	3.51336670653157	6.22492276462078	5.41259369429288	3.40754638544798	0	3.53006425457226	0	0	4.10682675347547	6.49060360577848	6.23397812126141	6.07137664650209	5.29408010993425	3.238605203682	4.2464571565869	7.54763688402021	2.3504299898895	0	0	5.46823239999114	4.9285517005342	7.23143178669482	2.22403120306988	2.71839348812978	5.62394872553278	0.67010708978062	2.07612361471122	1.25750586903877	8.12213574436534	3.61663249193342	5.56921592373218	2.84101110446907	1.91852015061548	3.89616418901546	5.1518117064705	5.16947261830829	3.01205690139282	8.9118724525605	6.37384900215444	4.90289021017282	2.02076953570141	4.93388112815261	0	6.05124929551224	4.7226931788066	1.35344200832313	2.79115693418504	2.52339644294482	6.63661101874628	3.9649338725404	6.12313415166252	8.73298918924036	4.50324927769169	0	3.88453600483427	7.24513931126297	5.39422956113396	0	5.71782540794192	5.55253121781494	4.23704025800663	8.62152862995259	5.03450456383446	5.40593730998397	7.20294460451036	5.84142011313857	1.85876558910559	2.91145248393314	4.12745647094574	3.45592263518158	3.42919356756414	7.06702456001678	6.03596002747445	2.41386642785708	5.81854890316827	2.07097487956233	3.49537304361774	3.38575416813662	5.17154436971301	6.90175777135157	3.14664861023608	2.98339731168431	2.37799855692926	2.24800553610765	7.73579079577733	8.22476223069163	2.17866116881961	5.4484605008163	4.71784126530911	4.19468630769269	4.83133051617461	3.01156054809275	2.52465596433599	0	3.24531562052289	2.61636579399937	1.32279431829428	6.80641938226173	8.51314401831461	7.17505749801753	7.15824902111072	5.85345133664706	5.11326087396868	3.35110705344086	4.87668285939836	2.97021821781703	2.5944539803474	4.71167509588109	0	2.38368151440939	6.44130560222062	5.36279793316822	3.05391077910066	4.14845842654493	4.13871173273784	4.89025826820781	4.55631833626924	6.66214038519066	6.06076333897165	3.22392690960135	4.95034054804293	3.07437943905924
Bindea_NK_CD56bright	Bindea_NK_CD56bright	Bindea G et al. Immunity 2013; PMID:24138885	8.88281073024229	8.93853852770641	9.5891381001475	8.68813513233485	5.56091242771989	7.65416308715755	6.49196717798817	5.922283730939	8.99140388297891	9.03605099767235	9.18229890078915	8.31069518829924	9.03296007470636	8.9165243037821	9.21484451530945	10.2468681918375	8.37261395533155	8.0725277650951	7.68156773936585	8.24132232070646	8.00056899103785	8.85211296787745	8.53834900116524	7.95930062983031	9.94184671392167	7.45410884713313	7.20019269010681	7.87390444269133	8.8877763350024	7.98028191298616	9.3410170780461	8.07147376920329	8.14962717908752	7.49597486310213	7.556845494324	9.23014743487288	7.73357461506746	9.34248745199144	6.95826600204263	9.89787891268731	8.02007141850264	8.74072217361342	8.67503466971431	8.02012178801196	7.99321388481105	7.31219915115556	9.77908067648077	8.93039645531201	8.2619646040304	7.95307109267768	7.94607378823566	8.64958719983298	7.49031428636425	8.07099520068222	8.28359800942831	9.04816125731941	7.48413401170492	7.46997624676991	8.68688494305738	8.6763331410016	8.01165932414781	8.19395657554804	8.4072904805015	9.44343466857793	8.81707961835187	8.99876114779022	8.44774134446864	7.309341181367	7.43581995606802	8.66729920363773	7.36769701694272	8.89085556215956	8.12425152392893	8.27950247915803	8.4452215330815	8.15846922783426	8.2674849663147	8.1552643481842	6.97956514279386	9.9203379309568	9.00252563707613	9.63799441622075	7.67191010090074	9.7375050011049	8.33264304328356	9.55894440845429	7.91634979584554	8.10804977419459	8.22061038550073	8.26848790581492	9.74999265693747	7.3999016073643	7.81462409520632	6.82350999508638	6.69672410895289	8.25983455056698	8.22956757632383	7.25920603606968	9.17699528951693	7.85176736343183	7.12319882098716	5.23447608215199	7.28866702473394	9.68409823015507	9.09116487672945	8.44179930898859	9.52131996810958	7.98712365884891	6.28678142335922	8.18588608985571	7.65096519231076	8.63088977409471	8.63303238511007	7.62482267890018	9.190186182715	8.92196698669741	8.59166382684937	8.00869526689697	8.47349773577668	7.29437806968226	8.13883968373098	8.33299311045579
Bindea_NK_CD56dim	Bindea_NK_CD56dim	Bindea G et al. Immunity 2013; PMID:24138885	4.78644731030895	6.39092228732253	7.88691695217894	2.43628036141055	0	4.23703919730085	0	0	4.89307613683921	5.57543624329674	4.41405398222527	4.71350739213538	6.93744594520733	6.44420118864283	6.506248642262	5.39979254334091	3.40137269040121	5.34793426921778	0	6.26606573376465	6.52837760085178	6.49504086545559	2.55972694044129	6.77923528385992	5.65435304407891	3.30273814442015	1.38314493126144	0	7.32987454367083	0	5.02411055690916	5.04697758037668	3.89741029027699	3.19691145092725	5.98165884353253	5.02691993097516	3.44546093127529	3.74173884176557	4.72993902254292	3.15160481823552	5.64177808377107	6.51771439215321	3.72918080643529	5.15658812440685	5.21053356412521	0.829934883573212	4.4015129129913	2.76654201961812	5.4644059046469	5.25551785330852	5.54848368777132	5.80849236735825	3.25398777607503	0	4.04356646539982	6.91404646687672	3.82746095824161	0	5.16118666436461	3.94054894220092	3.74648406231926	5.44198278792158	6.81391871535632	6.55331885616451	5.9852937212826	6.77896109323487	3.15070846449616	3.60686580008508	7.25162744692772	6.66624367622145	1.78365001958893	6.61532230111535	5.70824166407824	4.07664644763876	4.80516420324456	2.66361218758853	2.35360352839924	4.44593521536916	5.11656114964927	6.17610933854974	3.67626053778194	5.15146572028904	3.23209309820246	3.08755004277395	7.66943274250832	5.96822489316595	3.91736766618247	3.84130225398094	6.63132901239034	5.27344868223585	3.04810734000143	4.12792321322155	5.39932390374887	0	5.49622206713999	2.83964548473551	4.72930942908335	0	6.20269704775617	3.99325527036666	5.03279427863446	0	6.53024703102782	4.39794913587278	2.95545356104674	4.60282232420321	5.68358532565594	3.80802609719723	4.5037778532673	5.36027093520791	6.67662892044917	6.93257874262208	3.9332054355367	0	2.04098526412453	7.10537025517931	5.44470829951479	4.65088624549176	5.35942223139279	3.39714044381098	7.51107112132687	5.70140883461682
